protein,description,log_ratio_1,log_ratio_2,log_ratio_3,avg_ratio,sd_ratio,ratio_count
P74214,SRP54_SYNY3 Signal recognition particle protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ffh PE=3 SV=1,NA,NA,NA,NA,NA,0
P48576,LEU1_SYNY3 2-isopropylmalate synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=leuA PE=3 SV=1,NA,NA,NA,NA,NA,0
P74465,P74465_SYNY3 Pilin biogenesis protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pilC PE=3 SV=1,NA,NA,NA,NA,NA,0
P74470,P74470_SYNY3 Ssl0242 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl0242 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73198,P73198_SYNY3 GumB protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gumB PE=4 SV=1,NA,NA,NA,NA,NA,0
P73790,PHS_SYNY3 Putative pterin-4-alpha-carbinolamine dehydratase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl2296 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72661,P72661_SYNY3 Malic enzyme OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=me PE=3 SV=1,NA,NA,NA,NA,NA,0
P74727,P74727_SYNY3 Slr0589 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0589 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73424,P73424_SYNY3 Slr1540 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1540 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73243,P73243_SYNY3 CheY subfamily OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2024 PE=4 SV=1,NA,NA,NA,NA,NA,0
P48958,RL33_SYNY3 50S ribosomal protein L33 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpmG PE=3 SV=1,NA,NA,NA,NA,NA,0
P74060,Y821_SYNY3 Putative sulfur carrier protein slr0821 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0821 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55412,Q55412_SYNY3 Slr0583 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0583 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55791,Y075_SYNY3 Probable ATP-dependent transporter slr0075 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0075 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73655,SYW_SYNY3 Tryptophan--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=trpS PE=3 SV=2,NA,NA,NA,NA,NA,0
P73935,APT_SYNY3 Adenine phosphoribosyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=apt PE=3 SV=1,NA,NA,NA,NA,NA,0
Q46363,ZAM_SYNY3 Acetazolamide conferring resistance protein zam OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=zam PE=3 SV=1,NA,NA,NA,NA,NA,0
P72808,P72808_SYNY3 Prephenate dehydratase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pheA PE=4 SV=1,NA,NA,NA,NA,NA,0
P74184,P74184_SYNY3 Slr1272 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1272 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74682,P74682_SYNY3 Sll0446 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0446 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q6YRW7,ARSI2_SYNY3 Arsenate reductase ArsI2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=arsI2 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73879,Y264_SYNY3 Putative esterase slr0264 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0264 PE=3 SV=1,NA,NA,NA,NA,NA,0
P54148,Y537_SYNY3 Putative ammonium transporter sll0537 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0537 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73196,P73196_SYNY3 DNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=lig PE=4 SV=1,NA,NA,NA,NA,NA,0
P74124,P74124_SYNY3 Renin-binding protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1975 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74317,P74317_SYNY3 ABC transporter OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0912 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73328,P73328_SYNY3 Slr1900 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1900 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72704,PPI1_SYNY3 Probable peptidyl-prolyl cis-trans isomerase sll0227 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0227 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72817,Y1654_SYNY3 Universal stress protein Sll1654 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1654 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55650,Q55650_SYNY3 Slr0355 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0355 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55794,ARSA_SYNY3 Putative arsenical pump-driving ATPase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0086 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73801,Y1261_SYNY3 Uncharacterized protein slr1261 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1261 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55807,Q55807_SYNY3 Slr0086 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0086 PE=3 SV=1,NA,NA,NA,NA,NA,0
P74708,P74708_SYNY3 Sll1109 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1109 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73244,P73244_SYNY3 Slr2025 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2025 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q59992,TRPB_SYNY3 Tryptophan synthase beta chain OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=trpB PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55660,Q55660_SYNY3 Slr0001 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0001 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72986,PSAM_SYNY3 Photosystem I reaction center subunit XII OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaM PE=1 SV=1,NA,NA,NA,NA,NA,0
P72834,P72834_SYNY3 UDP-glucose 6-dehydrogenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1299 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72756,P72756_SYNY3 Sll1033 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1033 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73472,P73472_SYNY3 Chloroplast import-associated channel IAP75 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=IAP75 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73984,P73984_SYNY3 Slr2117 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2117 PE=4 SV=1,NA,NA,NA,NA,NA,0
P72675,P72675_SYNY3 Slr0731 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0731 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74564,PSAK2_SYNY3 Photosystem I reaction center subunit PsaK 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psaK2 PE=1 SV=2,NA,NA,NA,NA,NA,0
P74176,P74176_SYNY3 HlyB family OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hlyB PE=4 SV=1,NA,NA,NA,NA,NA,0
P73954,Y1513_SYNY3 Membrane-associated protein slr1513 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1513 PE=1 SV=1,NA,NA,NA,NA,NA,0
Q55584,Q55584_SYNY3 Cation or drug efflux system protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0369 PE=3 SV=1,NA,NA,NA,NA,NA,0
P73211,ASPA_SYNY3 Probable aspartoacylase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1705 PE=3 SV=1,NA,NA,NA,NA,NA,0
P74772,P74772_SYNY3 Ssl1046 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl1046 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55484,DCDA_SYNY3 Diaminopimelate decarboxylase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=lysA PE=3 SV=1,NA,NA,NA,NA,NA,0
P72776,PDXJ_SYNY3 Pyridoxine 5'-phosphate synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pdxJ PE=3 SV=2,NA,NA,NA,NA,NA,0
Q55862,Q55862_SYNY3 Sll0588 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0588 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55499,SSB1_SYNY3 Single-stranded DNA-binding protein 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssb PE=3 SV=1,NA,NA,NA,NA,NA,0
Q6ZES9,Q6ZES9_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr5051 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73720,OPCA_SYNY3 Putative OxPP cycle protein OpcA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=opcA PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55160,Q55160_SYNY3 Biotin carboxylase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=accC PE=4 SV=1,NA,NA,NA,NA,NA,0
P73292,RL31_SYNY3 50S ribosomal protein L31 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpmE PE=3 SV=1,NA,NA,NA,NA,NA,0
P73008,P73008_SYNY3 Methyl-accepting chemotaxis protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=mcpA PE=4 SV=1,NA,NA,NA,NA,NA,0
P73213,P73213_SYNY3 Ssr2857 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssr2857 PE=1 SV=1,NA,NA,NA,NA,NA,0
Q55450,GATC_SYNY3 Glutamyl-tRNA(Gln) amidotransferase subunit C OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gatC PE=3 SV=1,NA,NA,NA,NA,NA,0
P73735,NDBB_SYNY3 Demethylphylloquinone reductase NdbB OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ndbB PE=1 SV=1,NA,NA,NA,NA,NA,0
P72710,P72710_SYNY3 ABC transporter OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0251 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55780,Q55780_SYNY3 Peptidylprolyl isomerase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0208 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55746,LPXA_SYNY3 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=lpxA PE=3 SV=2,NA,NA,NA,NA,NA,0
P72753,UPP_SYNY3 Uracil phosphoribosyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=upp PE=3 SV=1,NA,NA,NA,NA,NA,0
P74069,NDHN_SYNY3 NAD(P)H-quinone oxidoreductase subunit N OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ndhN PE=1 SV=1,NA,NA,NA,NA,NA,0
P73619,P73619_SYNY3 Sll1775 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1775 PE=4 SV=1,NA,NA,NA,NA,NA,0
P23353,AROC_SYNY3 Chorismate synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=aroC PE=3 SV=2,NA,NA,NA,NA,NA,0
Q55497,OTC_SYNY3 Ornithine carbamoyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=argF PE=3 SV=1,NA,NA,NA,NA,NA,0
P73004,P73004_SYNY3 Long-chain-fatty-acid CoA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1609 PE=4 SV=1,NA,NA,NA,NA,NA,0
P74685,P74685_SYNY3 Sll0443 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0443 PE=4 SV=1,NA,NA,NA,NA,NA,0
P54147,Y108_SYNY3 Putative ammonium transporter sll0108 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0108 PE=3 SV=1,NA,NA,NA,NA,NA,0
P72699,Y230_SYNY3 UPF0045 protein sll0230 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0230 PE=3 SV=1,NA,NA,NA,NA,NA,0
P74027,P74027_SYNY3 Slr1334 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1334 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55790,Y074_SYNY3 UPF0051 protein slr0074 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0074 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55716,SYGA_SYNY3 Glycine--tRNA ligase alpha subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glyQ PE=3 SV=1,NA,NA,NA,NA,NA,0
P73873,P73873_SYNY3 Sll0253 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0253 PE=4 SV=1,NA,NA,NA,NA,NA,0
Q55653,SYH_SYNY3 Histidine--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hisS PE=3 SV=1,NA,NA,NA,NA,NA,0
Q57473,Q57473_SYNY3 Sll0318 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0318 PE=4 SV=1,NA,NA,NA,NA,NA,0
P73602,Y1783_SYNY3 Uncharacterized protein sll1783 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1783 PE=3 SV=1,NA,NA,NA,NA,NA,0
Q55984,Q55984_SYNY3 Sll0659 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0659 PE=4 SV=1,NA,NA,NA,NA,NA,0
